Date Time,Address,Latitude,Longitude,Resolved Address,Minimum Temperature,Maximum Temperature,Temperature,Precipitation,Precipitation %,Wind speed,Wind gust,Visibility
05/19/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",59.99,83.93,73.27,0,0,17.07,40.26,9.83
05/20/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",65.03,88.97,78.65,0,0,11.97,0,10
05/21/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",67.91,88.97,78.87,0,0,5.27,0,9.96
05/22/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",62.15,80.87,71.59,0.09,12.5,9.71,35.57,9.96
05/23/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",60.17,81.95,71.14,0.01,8.33,7.08,0,10
05/24/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",63.05,74.93,69.19,0.54,37.5,8.71,0,8.38
05/25/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",65.03,86.99,75.27,0.05,12.5,9.19,36.69,8.11
05/26/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",66.11,81.95,73.31,0.08,20.83,6.45,0,9.57
05/27/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",63.05,84.83,73.99,0,4.17,3.42,0,9.57
05/28/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",63.05,90.95,75.56,0,0,4.2,0,7.58
05/29/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",64.13,87.89,77.23,0.02,8.33,6.66,0,9.66
05/30/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",67.01,86.99,77.13,0,0,8.17,0,9.79
05/31/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",66.11,87.89,77.53,0,0,7.41,0,9.44
06/01/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",64.13,86.99,76.91,1.24,8.33,11.17,38.03,9.27
06/02/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",64.13,84.83,75.01,0.11,8.33,5.03,0,9.96
06/03/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",69.17,90.95,80.94,0,0,9.1,33.33,9.05
06/04/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",65.93,83.93,76.1,0.07,12.5,8.16,0.22,9.74
06/05/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",66.11,81.95,73.03,0.94,20.83,8.19,53.02,8.74
06/06/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",62.15,81.95,72.46,0.08,8.33,6.52,0,8.53
06/07/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",65.03,79.97,71.06,0.78,33.33,9.62,31.99,8.7
06/08/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",60.89,76.91,67.96,0.06,8.33,6.42,0,9.79
